train_loss,train_acc,val_loss,val_acc
0.27987683408365055,0.8934810396250532,0.06082754349336028,1.0
0.029304949050718867,1.0,0.009513760975096375,1.0
0.010172445389970735,1.0,0.003969529629102908,1.0
0.007881154439953231,1.0,0.0021881451830267906,1.0
0.006437871976428338,0.9987217724755006,0.0009900533586915117,1.0
0.0030486374209332907,1.0,0.0006363574975694064,1.0
0.007652524690382887,0.9995739241585002,0.00030983509350335225,1.0
0.0021098377647167828,1.0,0.00026939248891721945,1.0
0.001734910840585488,1.0,0.00022815417833044194,1.0
0.0013994343479115177,0.9995739241585002,0.00024801504969218513,1.0
0.006003912434017686,0.9978696207925011,0.0001381494184897747,1.0
0.0010887108814180515,1.0,7.67712344895699e-05,1.0
0.005407243849854362,0.9987217724755006,7.258582081703935e-05,1.0
0.03335919767729088,0.9953131657435024,8.625041436971514e-05,1.0
0.048481106516634544,0.9923306348530039,0.01449828891963989,0.9960238568588469
0.006143873149601466,0.9982956966340009,9.978759089790401e-05,1.0
0.022063698519903828,0.9953131657435024,0.009743522007738648,0.9980119284294234
0.20922533584077452,0.9603749467405198,0.3075319881681935,0.94831013916501
0.020230403528674633,0.9944610140605028,0.00026053401870740345,1.0
0.010469570745732886,0.9978696207925011,0.00012444741514627822,1.0
0.005213752366536348,0.9991478483170004,0.00014520836612064159,1.0
0.0021538159632433925,0.9995739241585002,0.0001460937687625119,1.0
0.0015840073193996087,1.0,6.432507416320732e-05,1.0
0.0013693761331425678,1.0,6.898700053170614e-05,1.0
0.0012510842727253377,1.0,7.530966490776336e-05,1.0
0.0015275423921667498,0.9995739241585002,4.0541523276260705e-05,1.0
0.00555733609493276,0.9991478483170004,3.0278068038569472e-05,1.0
0.008462244403179628,0.9991478483170004,1.863906516064162e-05,1.0
0.010325915897025167,0.9974435449510013,1.941866037213913e-05,1.0
0.005207323083792486,0.9987217724755006,3.3831899827418965e-05,1.0
0.0013853438208202165,0.9995739241585002,3.6526309827422665e-05,1.0
0.00110739227351882,1.0,1.7041975297615863e-05,1.0
0.0007434981164290031,1.0,2.2851194842132827e-05,1.0
0.0005447129691723652,1.0,1.66291682148767e-05,1.0
0.006321011057160511,0.9978696207925011,1.5209269179194962e-05,1.0
0.0006482012356935082,1.0,1.5248639897436078e-05,1.0
0.0014240652737400425,1.0,5.283621447915721e-06,1.0
0.0045479139293879475,0.9978696207925011,1.4686135727970395e-05,1.0
0.0005632228596270481,1.0,8.066570956088981e-06,1.0
0.0018794903924056082,0.9995739241585002,8.661070211246624e-06,1.0
0.00045957977092896455,1.0,1.575289411448466e-05,1.0
0.00046549367034704365,1.0,5.247250072670795e-06,1.0
0.008299136528126543,0.9995739241585002,2.8415313266805242e-06,1.0
0.009083363358021833,0.9991478483170004,2.548287440617969e-06,1.0
0.0010710387785218551,1.0,9.254421286186698e-06,1.0
0.0054940029300342835,0.9982956966340009,6.697000827671218e-06,1.0
0.0011837399820865972,1.0,3.5384460659315664e-06,1.0
0.00038773484198532677,1.0,3.5212685247643094e-06,1.0
0.005663314639162776,0.9995739241585002,1.1417399718993693e-06,1.0
0.0007421005581597234,1.0,1.976930477098904e-06,1.0
